Transaction_ID,Date,Year,Month,Day,User_ID,Transaction_Type,Category,Amount,Balance_After,Payment_Mode,Status,Merchant_Name,Location
TXN00144,2025-03-06,2025,Mar,6,U20,Money Spent,Travel,19138.31,30336.03,QR Code,Pending,Netflix,Pune
TXN00145,2024-01-16,2024,Jan,16,U184,Money Sent,Cashback,17891.16,14569.15,Wallet,Success,Swiggy,Bangalore
TXN00146,2024-08-06,2024,Aug,6,U13,Money Added,Entertainment,19555.03,28539.31,Wallet,Pending,-,Pune
TXN00147,2024-05-15,2024,May,15,U99,Money Added,Food,7140.87,9709.54,Mobile No,Pending,-,Hyderabad
TXN00148,2024-05-09,2024,May,9,U8,Money Sent,Shopping,19435.83,838.6,Mobile No,Failed,Swiggy,Delhi
TXN00149,2023-03-19,2023,Mar,19,U27,Money Sent,Investment,1230.6,25252.74,Bank Transfer,Pending,Swiggy,Kolkata
TXN00150,2023-02-14,2023,Feb,14,U195,Money Added,Entertainment,10738.84,31535.33,UPI ID,Failed,-,Pune
TXN00151,2023-07-30,2023,Jul,30,U26,Money Sent,Rent,9415.44,1321.62,QR Code,Pending,BigBasket,Delhi
TXN00152,2023-05-29,2023,May,29,U6,Money Spent,Shopping,7085.77,30009.44,Wallet,Success,Netflix,Pune
TXN00153,2025-02-24,2025,Feb,24,U103,Money Sent,Entertainment,5930.0,30439.93,Mobile No,Pending,Uber,Bangalore
TXN00154,2023-01-07,2023,Jan,7,U105,Money Sent,Food,18908.02,19206.4,UPI ID,Pending,Zomato,Chennai
TXN00155,2023-09-19,2023,Sep,19,U32,Money Added,Cashback,16565.91,45913.03,Bank Transfer,Success,-,Hyderabad
TXN00156,2023-01-20,2023,Jan,20,U21,Money Spent,Investment,19431.29,40944.19,Mobile No,Success,Swiggy,Kolkata
TXN00157,2023-08-22,2023,Aug,22,U20,Money Added,Food,4346.41,15272.24,Mobile No,Failed,-,Bangalore
TXN00158,2023-01-15,2023,Jan,15,U154,Money Spent,Food,10901.53,47530.93,QR Code,Success,Swiggy,Kolkata
TXN00159,2025-01-12,2025,Jan,12,U138,Money Sent,Investment,10764.77,28045.17,Wallet,Success,Electricity Board,Chennai
TXN00160,2024-12-04,2024,Dec,4,U111,Money Sent,Food,2336.56,35873.85,UPI ID,Success,BigBasket,Chennai
TXN00161,2024-05-25,2024,May,25,U180,Money Spent,Entertainment,4466.54,43045.29,Mobile No,Pending,Electricity Board,Hyderabad
TXN00162,2025-01-02,2025,Jan,2,U89,Money Sent,Shopping,19173.33,38620.18,Mobile No,Pending,Electricity Board,Mumbai
TXN00163,2023-05-17,2023,May,17,U92,Money Spent,Cashback,2249.33,49226.4,Mobile No,Success,BigBasket,Hyderabad
TXN00164,2023-02-18,2023,Feb,18,U140,Money Spent,Travel,15043.54,33873.05,Mobile No,Success,BigBasket,Pune
TXN00165,2024-03-17,2024,Mar,17,U3,Money Sent,Rent,10427.28,32210.58,Mobile No,Pending,Netflix,Mumbai
TXN00166,2023-12-23,2023,Dec,23,U169,Money Added,Investment,11316.64,47841.25,Bank Transfer,Pending,-,Hyderabad
TXN00167,2023-08-02,2023,Aug,2,U153,Money Sent,Bills,18826.96,37535.37,Bank Transfer,Pending,Zomato,Kolkata
TXN00168,2024-12-16,2024,Dec,16,U180,Money Added,Bills,17850.76,7511.03,Bank Transfer,Pending,-,Mumbai
TXN00169,2024-12-15,2024,Dec,15,U56,Money Added,Rent,8405.25,19745.37,Wallet,Success,-,Hyderabad
TXN00170,2023-01-10,2023,Jan,10,U98,Money Spent,Groceries,10093.42,8838.41,Bank Transfer,Failed,Electricity Board,Bangalore
TXN00171,2025-01-26,2025,Jan,26,U11,Money Added,Bills,18675.71,45782.7,Bank Transfer,Pending,-,Delhi
TXN00172,2024-03-25,2024,Mar,25,U18,Money Added,Entertainment,15022.24,39989.99,UPI ID,Pending,-,Bangalore
TXN00173,2023-12-22,2023,Dec,22,U122,Money Sent,Travel,538.0,16995.25,Mobile No,Success,Flipkart,Bangalore
TXN00174,2024-05-11,2024,May,11,U12,Money Sent,Shopping,10398.27,8261.98,QR Code,Failed,Electricity Board,Chennai
TXN00175,2025-02-04,2025,Feb,4,U42,Money Sent,Rent,11092.47,33911.81,UPI ID,Success,Swiggy,Pune
TXN00176,2024-03-23,2024,Mar,23,U113,Money Spent,Rent,6980.96,44539.67,Wallet,Failed,Uber,Bangalore
TXN00177,2024-03-10,2024,Mar,10,U136,Money Sent,Investment,7807.19,48297.91,Mobile No,Success,Swiggy,Chennai
TXN00178,2024-07-26,2024,Jul,26,U180,Money Added,Groceries,15821.56,18430.49,Mobile No,Pending,-,Delhi
TXN00179,2025-01-11,2025,Jan,11,U138,Money Added,Shopping,7844.47,22334.34,Wallet,Pending,-,Pune
TXN00180,2023-02-13,2023,Feb,13,U110,Money Spent,Travel,11896.54,22081.72,QR Code,Pending,Netflix,Mumbai
TXN00181,2023-04-25,2023,Apr,25,U135,Money Added,Groceries,13619.93,22281.4,Mobile No,Success,-,Mumbai
TXN00182,2023-05-06,2023,May,6,U33,Money Sent,Entertainment,17010.54,26517.41,QR Code,Success,Uber,Hyderabad
TXN00183,2023-01-15,2023,Jan,15,U186,Money Added,Investment,11761.66,23202.4,QR Code,Success,-,Pune
TXN00184,2024-12-17,2024,Dec,17,U69,Money Sent,Rent,3498.59,18701.35,UPI ID,Pending,Swiggy,Delhi
TXN00185,2024-11-17,2024,Nov,17,U2,Money Added,Food,17932.04,43594.44,UPI ID,Failed,-,Pune
TXN00186,2024-04-02,2024,Apr,2,U143,Money Added,Investment,13837.37,37195.31,Mobile No,Pending,-,Pune
TXN00187,2023-08-06,2023,Aug,6,U187,Money Spent,Shopping,18980.88,4831.73,QR Code,Success,Amazon,Mumbai
TXN00188,2025-02-08,2025,Feb,8,U49,Money Added,Entertainment,128.98,25511.07,Mobile No,Pending,-,Bangalore
TXN00189,2024-05-15,2024,May,15,U165,Money Spent,Shopping,894.58,47844.66,Bank Transfer,Success,Electricity Board,Bangalore
TXN00190,2023-10-07,2023,Oct,7,U54,Money Added,Food,15043.6,31310.55,UPI ID,Success,-,Bangalore
TXN00191,2025-01-10,2025,Jan,10,U149,Money Spent,Entertainment,15628.4,27152.79,Wallet,Failed,Amazon,Mumbai
TXN00192,2024-11-17,2024,Nov,17,U40,Money Spent,Food,7141.57,916.66,Mobile No,Pending,Swiggy,Pune
TXN00193,2023-07-15,2023,Jul,15,U39,Money Added,Rent,8717.55,41727.04,UPI ID,Pending,-,Pune
TXN00194,2024-03-06,2024,Mar,6,U71,Money Sent,Investment,11375.73,6859.63,Mobile No,Success,Swiggy,Bangalore
TXN00195,2024-06-13,2024,Jun,13,U74,Money Sent,Investment,2929.48,13980.84,Bank Transfer,Pending,Flipkart,Chennai
TXN00196,2023-07-11,2023,Jul,11,U84,Money Spent,Investment,767.34,46902.45,Bank Transfer,Pending,Amazon,Delhi
TXN00197,2024-05-15,2024,May,15,U41,Money Sent,Rent,11533.7,18648.71,QR Code,Failed,Netflix,Mumbai
TXN00198,2024-04-23,2024,Apr,23,U42,Money Sent,Groceries,5980.48,27793.52,Wallet,Failed,Amazon,Bangalore
TXN00199,2023-06-08,2023,Jun,8,U10,Money Sent,Bills,7243.72,5514.56,Bank Transfer,Pending,Amazon,Chennai
TXN00200,2024-08-11,2024,Aug,11,U18,Money Spent,Rent,10322.13,45856.17,Bank Transfer,Pending,Swiggy,Mumbai
TXN00201,2024-09-05,2024,Sep,5,U58,Money Added,Shopping,17341.34,44719.59,Wallet,Pending,-,Bangalore
TXN00202,2023-08-18,2023,Aug,18,U120,Money Added,Rent,6077.52,6290.27,Mobile No,Pending,-,Delhi
TXN00203,2023-05-11,2023,May,11,U126,Money Sent,Cashback,16429.46,3673.49,QR Code,Pending,Swiggy,Kolkata
TXN00204,2024-02-14,2024,Feb,14,U113,Money Sent,Cashback,13102.25,40199.81,UPI ID,Success,BigBasket,Hyderabad
TXN00205,2023-04-20,2023,Apr,20,U98,Money Added,Shopping,215.69,32890.94,Wallet,Pending,-,Bangalore
TXN00206,2024-01-14,2024,Jan,14,U18,Money Sent,Food,19521.69,10248.13,Bank Transfer,Pending,Flipkart,Chennai
TXN00207,2023-01-05,2023,Jan,5,U38,Money Spent,Food,7699.95,46674.0,Wallet,Failed,Zomato,Hyderabad
TXN00208,2023-01-04,2023,Jan,4,U131,Money Sent,Investment,10571.27,4905.48,UPI ID,Pending,Swiggy,Hyderabad
TXN00209,2024-11-26,2024,Nov,26,U182,Money Sent,Cashback,11918.04,29983.99,QR Code,Failed,Uber,Kolkata
TXN00210,2023-05-16,2023,May,16,U123,Money Added,Bills,6413.58,33127.9,Mobile No,Pending,-,Mumbai
TXN00211,2023-08-11,2023,Aug,11,U24,Money Added,Food,5918.25,3868.07,Wallet,Pending,-,Mumbai
TXN00212,2025-01-18,2025,Jan,18,U120,Money Sent,Investment,14595.52,36504.4,UPI ID,Success,IRCTC,Chennai
TXN00213,2023-04-23,2023,Apr,23,U85,Money Spent,Bills,9293.11,13364.87,UPI ID,Failed,Netflix,Pune
TXN00214,2023-05-29,2023,May,29,U21,Money Sent,Investment,4968.9,17396.7,Mobile No,Pending,Swiggy,Mumbai
